Logger:         	Automatically truncated logfile to 1048576
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28355 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1747638606
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28356 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
MsgIdHandler64: 	Given message id (7053522607113009153) is lower than or equal to the current limit (7053522607113020417). Please sync your date using NTP.
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1747638606
Session:        	Garbage collected 1 outgoing messages, 1 left
Session:        	Garbage collected 3 incoming messages, 0 left
Session:        	Garbage collected 2 outgoing messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28357 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1467283006
Session:        	Garbage collected 1 incoming messages, 0 left
Session:        	Garbage collected 1 outgoing messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28358 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
MsgIdHandler64, fedayaa: 	Given message id (7053522616086584321) is lower than or equal to the current limit (7053522616086600705). Please sync your date using NTP.
MsgIdHandler64, fedayaa: 	Given message id (7053522616086589441) is bigger than or equal to the current limit (7053522616086584325). Please sync your date using NTP.
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1333135242
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1183328887
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1333135242
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1169378196
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1169378196
UpdateHandler, fedayaa:  	Parsing updates (updates) received via the socket...
SeqLoop, fedayaa:        	Was fed updates of type updates...
FeedLoop, fedayaa:       	Resumed update feed loop channel 1140384370
MsgIdHandler64, fedayaa: 	Given message id (7053522616117539841) is bigger than or equal to the current limit (7053522616117533697). Please sync your date using NTP.
FeedLoop, fedayaa:       	MSGID duplicate (55424) in update feed loop channel 1183328887
FeedLoop, fedayaa:       	MSGID duplicate (71003) in update feed loop channel 1333135242
FeedLoop, fedayaa:       	MSGID duplicate (71004) in update feed loop channel 1333135242
FeedLoop, fedayaa:       	MSGID duplicate (45659) in update feed loop channel 1140384370
FeedLoop, fedayaa:       	MSGID duplicate (201031) in update feed loop channel 1169378196
FeedLoop, fedayaa:       	MSGID duplicate (201032) in update feed loop channel 1169378196
Session, fedayaa:        	Garbage collected 20 incoming messages, 0 left
Session, fedayaa:        	Garbage collected 12 outgoing messages, 0 left
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28359 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28360 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
UpdateHandler, albertmood:  	Parsing updates (updates) received via the socket...
SeqLoop, albertmood:        	Was fed updates of type updates...
FeedLoop, albertmood:       	Resumed update feed loop channel 1467283006
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28361 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
Session, albertmood:        	Garbage collected 1 incoming messages, 0 left
Session, albertmood:        	Garbage collected 2 outgoing messages, 0 left
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28362 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79086653375.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79232725057.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79086653375.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79232725057.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79232725057.madeline.lightState.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79086653375.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79232725057.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79086653375.madeline.lightState.php.lock...
APIWrapper:     	Saved session!
APIWrapper:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+6285868355795.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+6285868355795.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.lightState.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+6285868355795.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+6285868355795.madeline.lightState.php.lock...
APIWrapper:     	Saved session!
APIWrapper:     	Saved session!
Session, apolon999:        	Can't garbage collect msgs_state_req with message ID 7053400816266248192 sent 28363 seconds ago, no response has been received or it wasn't yet handled!
Session, apolon999:        	Garbage collected 0 outgoing messages, 1 left
SessionPaths, apolon999:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79290879718.madeline.safe.php.lock...
SessionPaths, apolon999:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79290879718.madeline.safe.php.lock...
SessionPaths, apolon999:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79290879718.madeline.lightState.php.lock...
SessionPaths, apolon999:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79290879718.madeline.lightState.php.lock...
APIWrapper, apolon999:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+79956593022.madeline.lightState.php.lock...
APIWrapper:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+89956593022.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+89956593022.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+89956593022.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+89956593022.madeline.lightState.php.lock...
APIWrapper:     	Saved session!
SessionPaths, poligraffff:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+380992416157.madeline.safe.php.lock...
SessionPaths, poligraffff:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+380992416157.madeline.safe.php.lock...
SessionPaths, poligraffff:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+380992416157.madeline.lightState.php.lock...
SessionPaths, poligraffff:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+380992416157.madeline.lightState.php.lock...
APIWrapper, poligraffff:     	Saved session!
SessionPaths, albertmood:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+447789122157.madeline.safe.php.lock...
SessionPaths, albertmood:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+447789122157.madeline.safe.php.lock...
SessionPaths, albertmood:   	Waiting for exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+447789122157.madeline.lightState.php.lock...
SessionPaths, albertmood:   	Got exclusive lock of C:\OpenServer2\domains\t-spam-bot.loc\public\madeline\+447789122157.madeline.lightState.php.lock...
